iter	Logloss
0	0.6880822872
1	0.6831765342
2	0.6788070052
3	0.6740307134
4	0.6701476605
5	0.66575988
6	0.661097295
7	0.655977812
8	0.650742959
9	0.6470989042
10	0.6425422236
11	0.6382403539
12	0.6333725371
13	0.6292614771
14	0.6254146917
15	0.6219539237
16	0.6185387067
17	0.6157101469
18	0.6123167111
19	0.6088065763
20	0.6059330078
21	0.6031451738
22	0.5994327766
23	0.5964039808
24	0.59225391
25	0.5887390734
26	0.5857609599
27	0.5834507396
28	0.5796512926
29	0.5763582795
30	0.5728521306
31	0.5698885801
32	0.5671034583
33	0.564646091
34	0.5619500331
35	0.5596857382
36	0.5573298234
37	0.5548626246
38	0.5525375693
39	0.5506540266
40	0.5476778696
41	0.5454834797
42	0.5436864094
43	0.5415057704
44	0.5393469424
45	0.5371239795
46	0.5349541282
47	0.5330920955
48	0.5317298543
49	0.5300515992
50	0.5276127949
51	0.5262022683
52	0.5246642651
53	0.5230295529
54	0.5211404463
55	0.5193115265
56	0.5177042627
57	0.5159979438
58	0.5145199143
59	0.5128270385
60	0.5113730993
61	0.5098910506
62	0.50864126
63	0.5073268146
64	0.5057821899
65	0.504528441
66	0.5034920013
67	0.5021257177
68	0.5008744874
69	0.4996649181
70	0.4984159478
71	0.4967078473
72	0.4953042931
73	0.4942220175
74	0.4930538378
75	0.4913426242
76	0.4898924952
77	0.4885307923
78	0.4875989604
79	0.4864274249
80	0.4851702855
81	0.483759924
82	0.4827060734
83	0.4815027754
84	0.4806175229
85	0.4796395345
86	0.4784870696
87	0.4773350072
88	0.4763872672
89	0.4751965546
90	0.4743763112
91	0.4735581546
92	0.472617087
93	0.4716759319
94	0.4705647701
95	0.4693061751
96	0.4685200867
97	0.4679617771
98	0.4666511364
99	0.4655876303
100	0.4646756113
101	0.4637031643
102	0.4626875195
103	0.4618254826
104	0.461258024
105	0.4605974588
106	0.4595989236
107	0.4586638431
108	0.4580184971
109	0.4573929456
110	0.4565944518
111	0.4556305619
112	0.4551001579
113	0.4542986675
114	0.4537340569
115	0.4528685196
116	0.4520318448
117	0.4512264426
118	0.4504067316
119	0.4497956765
120	0.4492501525
121	0.4485051372
122	0.4477241775
123	0.4471132752
124	0.446622526
125	0.4460764277
126	0.4453780616
127	0.4448288208
128	0.4441882718
129	0.4434318928
130	0.44273229
131	0.4421416331
132	0.4416421112
133	0.4408940134
134	0.4404764038
135	0.440041035
136	0.4397157858
137	0.4390801083
138	0.4385570379
139	0.4379320012
140	0.4374106917
141	0.436875283
142	0.4361534076
143	0.4356359531
144	0.4350144535
145	0.4342618654
146	0.4336552273
147	0.433014655
148	0.4322528102
149	0.4317205405
150	0.4312205207
151	0.4306829347
152	0.4301466227
153	0.4296170805
154	0.4292323934
155	0.4288148129
156	0.428330029
157	0.4279874722
158	0.4274725558
159	0.4268623527
160	0.4264901546
161	0.4260448843
162	0.4256634869
163	0.425206037
164	0.4247824511
165	0.4242045329
166	0.4238714881
167	0.423490497
168	0.4230378438
169	0.4226348073
170	0.4221336943
171	0.4217677296
172	0.4214288745
173	0.4209088478
174	0.4204974815
175	0.420095208
176	0.4196692742
177	0.4193779433
178	0.4188616322
179	0.418406485
180	0.417930205
181	0.4176208423
182	0.4172394279
183	0.4167877821
