iter	Passed	Remaining
647	3362	2863
648	3366	2858
649	3371	2853
650	3376	2847
651	3381	2842
652	3386	2836
653	3391	2831
654	3395	2825
655	3400	2820
656	3405	2814
657	3410	2809
658	3414	2803
659	3419	2797
660	3424	2792
661	3428	2786
662	3433	2781
663	3438	2775
664	3443	2770
665	3447	2764
666	3452	2758
667	3457	2753
668	3461	2747
669	3466	2742
670	3471	2736
671	3476	2731
672	3480	2725
673	3485	2720
674	3490	2714
675	3495	2709
676	3499	2703
677	3504	2698
678	3509	2692
679	3514	2687
680	3519	2682
681	3524	2677
682	3530	2672
683	3535	2666
684	3540	2662
685	3545	2656
686	3551	2651
687	3558	2647
688	3562	2642
689	3567	2636
690	3572	2631
691	3576	2625
692	3581	2620
693	3586	2614
694	3591	2609
695	3595	2603
696	3600	2598
697	3605	2592
698	3609	2587
699	3614	2581
700	3619	2576
701	3624	2570
702	3628	2565
703	3633	2560
704	3638	2554
705	3643	2549
706	3648	2544
707	3653	2538
708	3658	2533
709	3662	2527
710	3667	2522
711	3672	2517
712	3677	2511
713	3682	2506
714	3687	2501
715	3691	2495
716	3696	2490
717	3701	2485
718	3706	2479
719	3711	2474
720	3715	2468
721	3720	2463
722	3725	2458
723	3731	2453
724	3736	2448
725	3741	2442
726	3746	2437
727	3752	2432
728	3757	2427
729	3763	2422
730	3769	2418
731	3774	2413
732	3779	2408
733	3784	2402
734	3789	2397
735	3793	2391
736	3798	2386
737	3803	2381
738	3808	2375
739	3813	2370
740	3817	2364
741	3822	2359
742	3827	2354
743	3832	2348
744	3836	2343
745	3841	2338
746	3846	2332
747	3851	2327
748	3856	2322
749	3861	2316
750	3865	2311
751	3870	2305
752	3875	2300
753	3879	2294
754	3884	2289
755	3889	2284
756	3893	2278
757	3898	2273
758	3903	2267
759	3907	2262
760	3912	2257
761	3918	2252
762	3923	2247
763	3929	2242
764	3934	2237
765	3940	2232
766	3947	2228
767	3953	2223
768	3959	2219
769	3965	2214
770	3971	2209
771	3975	2204
772	3980	2198
773	3985	2193
774	3989	2187
775	3994	2182
776	3999	2177
777	4003	2171
778	4008	2166
779	4013	2160
780	4017	2155
781	4022	2150
782	4027	2144
783	4032	2139
784	4036	2134
785	4041	2128
786	4046	2123
787	4051	2118
788	4055	2112
789	4060	2107
790	4064	2101
791	4070	2096
792	4074	2091
793	4079	2085
794	4084	2080
795	4088	2075
796	4093	2069
797	4098	2064
798	4103	2059
799	4107	2053
800	4112	2048
801	4116	2043
802	4121	2037
803	4126	2032
804	4132	2027
805	4137	2022
806	4142	2017
807	4147	2012
808	4153	2007
809	4159	2002
810	4165	1997
811	4170	1992
812	4176	1988
813	4182	1983
814	4189	1978
815	4194	1973
816	4199	1968
817	4204	1963
818	4210	1958
819	4216	1953
820	4221	1948
821	4226	1943
822	4231	1938
823	4237	1933
824	4242	1928
825	4247	1923
826	4253	1918
827	4258	1913
828	4264	1908
829	4269	1903
830	4274	1898
831	4279	1892
832	4284	1887
833	4289	1882
834	4294	1877
835	4299	1871
836	4303	1866
837	4308	1861
838	4313	1856
839	4318	1850
840	4323	1845
841	4328	1840
842	4333	1835
843	4338	1830
844	4343	1824
845	4348	1819
846	4355	1815
847	4360	1809
848	4365	1804
849	4370	1799
850	4376	1794
851	4382	1790
852	4388	1785
853	4392	1779
854	4398	1774
855	4403	1769
856	4408	1764
857	4413	1759
858	4417	1753
859	4422	1748
860	4427	1743
861	4431	1737
862	4437	1732
863	4441	1727
864	4446	1722
865	4451	1716
866	4455	1711
867	4460	1706
868	4466	1701
869	4470	1695
870	4475	1690
871	4480	1685
872	4485	1679
873	4489	1674
874	4494	1669
875	4499	1664
876	4504	1659
877	4509	1653
878	4515	1648
879	4520	1643
880	4525	1638
881	4530	1633
882	4539	1629
883	4545	1624
884	4550	1619
885	4556	1614
886	4561	1609
887	4566	1604
888	4571	1599
889	4576	1594
890	4582	1589
891	4587	1583
892	4592	1578
893	4600	1574
894	4605	1569
895	4611	1564
896	4620	1560
897	4625	1555
898	4630	1550
899	4635	1545
900	4639	1539
901	4644	1534
902	4649	1529
903	4654	1523
904	4659	1518
905	4664	1513
906	4669	1508
907	4673	1503
908	4678	1497
909	4683	1492
910	4688	1487
911	4693	1482
912	4698	1476
913	4702	1471
914	4707	1466
915	4712	1460
916	4716	1455
917	4721	1450
918	4726	1445
919	4730	1439
920	4735	1434
921	4740	1429
922	4745	1424
923	4750	1419
924	4755	1413
925	4760	1408
926	4766	1403
927	4771	1398
928	4776	1393
929	4781	1388
930	4787	1383
931	4792	1378
932	4797	1372
933	4803	1368
934	4810	1363
935	4815	1358
936	4820	1353
937	4825	1347
938	4829	1342
939	4834	1337
940	4839	1331
941	4843	1326
942	4848	1321
943	4853	1316
944	4857	1310
945	4863	1305
946	4867	1300
947	4872	1295
948	4877	1289
949	4882	1284
950	4886	1279
951	4891	1274
952	4896	1268
953	4900	1263
954	4905	1258
955	4910	1253
956	4915	1248
957	4919	1242
958	4924	1237
959	4930	1232
960	4935	1227
961	4939	1222
962	4945	1217
963	4950	1211
964	4956	1206
965	4963	1202
966	4968	1197
967	4974	1192
968	4979	1187
969	4986	1182
970	4991	1177
971	4996	1172
972	5021	1171
973	5039	1169
974	5045	1164
975	5053	1159
976	5059	1154
977	5064	1149
978	5070	1144
979	5075	1139
980	5080	1134
981	5085	1128
982	5090	1123
983	5094	1118
984	5099	1113
985	5104	1107
986	5109	1102
987	5114	1097
988	5119	1092
989	5124	1086
990	5129	1081
991	5134	1076
992	5140	1071
993	5145	1066
994	5150	1061
995	5156	1056
996	5161	1050
997	5166	1045
998	5172	1040
999	5178	1035
1000	5184	1030
1001	5189	1025
1002	5195	1020
1003	5201	1015
1004	5207	1010
1005	5212	1005
1006	5218	1000
1007	5223	994
1008	5228	989
1009	5234	984
1010	5239	979
1011	5244	974
1012	5249	969
1013	5254	963
1014	5260	958
1015	5265	953
1016	5270	948
1017	5275	943
1018	5280	937
1019	5285	932
1020	5289	927
1021	5294	922
1022	5299	916
1023	5304	911
1024	5309	906
1025	5313	901
1026	5318	895
1027	5323	890
1028	5328	885
1029	5332	880
1030	5337	874
1031	5342	869
1032	5347	864
1033	5351	859
1034	5356	853
1035	5361	848
1036	5366	843
1037	5371	838
1038	5376	833
1039	5381	827
1040	5386	822
1041	5391	817
1042	5396	812
1043	5401	807
1044	5407	801
1045	5412	796
1046	5417	791
1047	5422	786
1048	5427	781
1049	5433	776
1050	5439	771
1051	5444	765
1052	5449	760
1053	5453	755
1054	5458	750
1055	5463	744
1056	5467	739
1057	5472	734
1058	5477	729
1059	5481	724
1060	5486	718
1061	5491	713
1062	5495	708
1063	5501	703
1064	5505	697
1065	5510	692
1066	5515	687
1067	5519	682
1068	5524	676
1069	5528	671
1070	5533	666
1071	5538	661
1072	5543	656
1073	5548	650
1074	5552	645
1075	5557	640
1076	5562	635
1077	5566	629
1078	5571	624
1079	5576	619
1080	5581	614
1081	5586	609
1082	5591	604
1083	5597	598
1084	5602	593
1085	5607	588
1086	5612	583
1087	5618	578
1088	5623	573
1089	5628	567
1090	5634	562
1091	5639	557
1092	5644	552
1093	5649	547
1094	5653	542
1095	5658	536
1096	5663	531
1097	5668	526
1098	5672	521
1099	5677	516
1100	5682	510
1101	5686	505
1102	5691	500
1103	5696	495
1104	5701	490
1105	5705	484
1106	5710	479
1107	5715	474
1108	5719	469
1109	5724	464
1110	5729	458
1111	5733	453
1112	5738	448
1113	5743	443
1114	5747	438
1115	5752	432
1116	5757	427
1117	5761	422
1118	5766	417
1119	5771	412
1120	5775	407
1121	5780	401
1122	5785	396
1123	5790	391
1124	5796	386
1125	5801	381
1126	5806	376
1127	5812	370
1128	5817	365
1129	5822	360
1130	5827	355
1131	5833	350
1132	5838	345
1133	5844	340
1134	5850	335
1135	5856	329
1136	5861	324
1137	5866	319
1138	5870	314
1139	5876	309
1140	5881	304
1141	5885	298
1142	5890	293
1143	5895	288
1144	5899	283
1145	5904	278
1146	5909	273
1147	5913	267
1148	5918	262
1149	5923	257
1150	5928	252
1151	5933	247
1152	5938	242
1153	5943	236
1154	5948	231
1155	5952	226
1156	5957	221
1157	5963	216
1158	5969	211
1159	5974	206
1160	5980	200
1161	5985	195
1162	5991	190
1163	5997	185
1164	6003	180
1165	6008	175
1166	6014	170
1167	6019	164
1168	6024	159
1169	6030	154
1170	6035	149
1171	6041	144
1172	6046	139
1173	6051	134
1174	6056	128
1175	6063	123
1176	6068	118
1177	6073	113
1178	6079	108
1179	6084	103
1180	6089	97
1181	6095	92
1182	6101	87
1183	6106	82
1184	6112	77
1185	6118	72
1186	6123	67
1187	6128	61
1188	6134	56
1189	6140	51
1190	6145	46
1191	6150	41
1192	6156	36
1193	6161	30
1194	6167	25
1195	6172	20
1196	6178	15
1197	6183	10
1198	6188	5
1199	6194	0
